p1,p2,p3,p4,p5,p6,middle,last,p(30%),middle(30%),last(40%),score(100%)
100,100,100,100,100,100,100,74.09090909,30,30,29.63636364,89.63636364
100,100,100,100,100,100,93.75,49.09090909,30,28.125,19.63636364,77.76136364
100,100,100,100,100,100,72.5,55.45454545,30,21.75,22.18181818,73.93181818
100,100,100,100,100,100,89.375,24.09090909,30,26.8125,9.636363636,66.44886364
100,100,100,100,100,100,60,13.63636364,30,18,5.454545455,53.45454545
100,100,100,100,100,100,90.625,54.54545455,30,27.1875,21.81818182,79.00568182
100,100,100,100,100,100,100,70,30,30,28,88
100,100,100,0,80,100,51.25,10.90909091,24,15.375,4.363636364,43.73863636
100,100,100,100,10,100,51.25,13.63636364,25.5,15.375,5.454545455,46.32954545
100,100,100,100,100,100,80,6.818181818,30,24,2.727272727,56.72727273
100,100,100,100,100,100,16.875,11.36363636,30,5.0625,4.545454545,39.60795455
100,100,100,100,100,100,63.125,8.181818182,30,18.9375,3.272727273,52.21022727
100,100,100,100,30,100,48.75,9.090909091,26.5,14.625,3.636363636,44.76136364
90,0,0,0,0,0,0,0,4.5,0,0,4.5
100,100,100,100,10,100,88.125,73.63636364,25.5,26.4375,29.45454545,81.39204545
0,0,0,0,0,0,34.375,1.818181818,0,10.3125,0.727272727,11.03977273
100,100,100,100,100,100,28.125,7.727272727,30,8.4375,3.090909091,41.52840909
0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,100,70,100,51.25,7.727272727,28.5,15.375,3.090909091,46.96590909
100,100,100,30,0,100,69.375,35.45454545,21.5,20.8125,14.18181818,56.49431818
100,100,100,100,70,100,76.25,21.81818182,28.5,22.875,8.727272727,60.10227273
100,100,100,100,100,100,72.5,19.09090909,30,21.75,7.636363636,59.38636364
100,100,100,100,80,100,43.75,0,29,13.125,0,42.125
100,100,100,100,100,100,61.25,68.18181818,30,18.375,27.27272727,75.64772727
0,0,10,0,0,0,9.375,0,0.428571429,2.8125,0,3.241071429
100,100,100,100,100,100,35,32.72727273,30,10.5,13.09090909,53.59090909
100,100,100,100,100,100,87.5,67.27272727,30,26.25,26.90909091,83.15909091
100,100,90,100,100,100,48.125,0,29.57142857,14.4375,0,44.00892857
100,100,100,100,70,100,5,0,28.71428571,1.5,0,30.21428571
100,100,100,100,100,100,25,0,30,7.5,0,37.5
100,100,100,100,90,100,66.875,19.09090909,29.57142857,20.0625,7.636363636,57.27029221
100,100,100,100,100,100,88.125,49.09090909,30,26.4375,19.63636364,76.07386364
100,100,100,0,0,100,28.75,0,21.42857143,8.625,0,30.05357143
100,100,100,100,100,100,66.875,27.27272727,30,20.0625,10.90909091,60.97159091
100,100,100,100,100,100,68.75,30,30,20.625,12,62.625
100,100,100,0,70,100,88.75,16.36363636,24.42857143,26.625,6.545454545,57.59902597
100,100,100,100,90,100,66.25,40.90909091,29.57142857,19.875,16.36363636,65.81006494
100,100,100,100,100,100,41.875,5.454545455,30,12.5625,2.181818182,44.74431818
100,100,100,100,100,100,34.375,2.727272727,30,10.3125,1.090909091,41.40340909
100,100,100,0,0,0,45,0,17.14285714,13.5,0,30.64285714
100,100,100,100,100,100,77.5,19.09090909,30,23.25,7.636363636,60.88636364
100,100,100,100,100,100,89.375,51.81818182,30,26.8125,20.72727273,77.53977273
100,100,100,100,100,100,79.375,16.36363636,30,23.8125,6.545454545,60.35795455
100,100,100,100,100,100,31.875,12.72727273,30,9.5625,5.090909091,44.65340909
