p1,p2,p3,p4,p5,p6,middle,last,p(30%),middle(30%),last(40%),score(100%)
100,100,100,100,30,100,78,20,26.5,14.625,3.636363636,44.76136364
90,0,0,0,0,0,0,0,4.5,0,0,4.5
100,100,100,100,10,100,141,162,25.5,26.4375,29.45454545,81.39204545
0,0,0,0,0,0,55,4,0,10.3125,0.727272727,11.03977273
100,100,100,100,100,100,45,17,30,8.4375,3.090909091,41.52840909
0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,100,70,100,82,17,28.5,15.375,3.090909091,46.96590909
100,100,100,30,0,100,111,78,21.5,20.8125,14.18181818,56.49431818
100,100,100,100,70,100,122,48,28.5,22.875,8.727272727,60.10227273
100,100,100,100,100,100,116,42,30,21.75,7.636363636,59.38636364
100,100,100,100,80,100,70,0,29,13.125,0,42.125
100,100,100,100,100,100,98,150,30,18.375,27.27272727,75.64772727
0,0,10,0,0,0,15,0,0.428571429,2.8125,0,3.241071429
100,100,100,100,100,100,56,72,30,10.5,13.09090909,53.59090909
100,100,100,100,100,100,140,148,30,26.25,26.90909091,83.15909091
100,100,90,100,100,100,77,0,29.57142857,14.4375,0,44.00892857
100,100,100,100,70,100,8,0,28.71428571,1.5,0,30.21428571
100,100,100,100,100,100,40,0,30,7.5,0,37.5
100,100,100,100,90,100,107,42,29.57142857,20.0625,7.636363636,57.27029221
100,100,100,100,100,100,141,108,30,26.4375,19.63636364,76.07386364
100,100,100,0,0,100,46,0,21.42857143,8.625,0,30.05357143
100,100,100,100,100,100,107,60,30,20.0625,10.90909091,60.97159091
100,100,100,100,100,100,110,66,30,20.625,12,62.625
100,100,100,0,70,100,142,36,24.42857143,26.625,6.545454545,57.59902597
100,100,100,100,90,100,106,90,29.57142857,19.875,16.36363636,65.81006494
100,100,100,100,100,100,67,12,30,12.5625,2.181818182,44.74431818
100,100,100,100,100,100,55,6,30,10.3125,1.090909091,41.40340909
100,100,100,0,0,0,72,0,17.14285714,13.5,0,30.64285714
100,100,100,100,100,100,124,42,30,23.25,7.636363636,60.88636364
100,100,100,100,100,100,143,114,30,26.8125,20.72727273,77.53977273
100,100,100,100,100,100,127,36,30,23.8125,6.545454545,60.35795455
100,100,100,100,100,100,51,28,30,9.5625,5.090909091,44.65340909
100,100,100,100,80,0,138,72,24.85714286,25.875,13.09090909,63.82305195
100,100,100,100,100,100,67,100,30,12.5625,18.18181818,60.74431818
0,0,0,0,0,0,10,0,0,1.875,0,1.875
100,100,35,0,0,0,0,0,15,0,0,15
100,100,100,100,100,100,67,24,30,12.5625,4.363636364,46.92613636
100,100,100,100,100,100,47,0,30,8.8125,0,38.8125
100,100,100,100,100,100,160,78,30,30,14.18181818,74.18181818
100,100,100,100,100,100,115,96,30,21.5625,17.45454545,69.01704545
100,100,100,100,80,100,114,60,29.14285714,21.375,10.90909091,61.42694805
80,100,90,100,50,0,160,58,22.28571429,30,10.54545455,62.83116883
100,100,100,100,100,100,31,0,30,5.8125,0,35.8125
100,100,100,100,0,0,47,0,21.42857143,8.8125,0,30.24107143
100,100,100,100,100,100,141,190,30,26.4375,34.54545455,90.98295455
100,100,100,100,90,100,135,24,29.57142857,25.3125,4.363636364,59.24756494
